Id,Name,Address,Lon,Lat,StreetAddress,City,State,ZipCode
10001,SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE, DOTHAN, AL 36301",-85.3630079,31.215884,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301
10005,MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH, BOAZ, AL 35957",-86.179183,34.249788,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957
10006,ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET, FLORENCE, AL 35631",-87.68509259999999,34.7951082,205 MARENGO STREET,FLORENCE,AL,35631
10007,MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST, OPP, AL 36467",-86.17252309999999,31.2220879,702 N MAIN ST,OPP,AL,36467
10008,CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE, LUVERNE, AL 36049",-86.2639751,31.6942681,101 HOSPITAL CIRCLE,LUVERNE,AL,36049
10011,ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL 35235",-86.6675006,33.5961576,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235
10012,DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE, FORT PAYNE, AL 35968",-85.7557435,34.4384548,200 MED CENTER DRIVE,FORT PAYNE,AL,35968
10016,SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH, ALABASTER, AL 35007",-86.8135545,33.2524436,1000 FIRST STREET NORTH,ALABASTER,AL,35007
10019,HELEN KELLER MEMORIAL HOSPITAL,"1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL 35660",-87.6989296,34.7464826,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660
10021,DALE MEDICAL CENTER,"126 HOSPITAL AVE, OZARK, AL 36360",-85.632075,31.451328,126 HOSPITAL AVE,OZARK,AL,36360
10022,CHEROKEE MEDICAL CENTER,"400 NORTHWOOD DR, CENTRE, AL 35960",-85.6513665,34.162739,400 NORTHWOOD DR,CENTRE,AL,35960
10023,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL 36116",-86.2710335,32.326946,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116
10024,JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET, MONTGOMERY, AL 36106",-86.28572059999999,32.3665616,1725 PINE STREET,MONTGOMERY,AL,36106
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,"4800 48TH ST, VALLEY, AL 36854",-85.1701886,32.823774,4800 48TH ST,VALLEY,AL,36854
10027,ELBA GENERAL HOSPITAL,"987 DRAYTON STREET, ELBA, AL 36323",-86.0763711,31.4292557,987 DRAYTON STREET,ELBA,AL,36323
10029,EAST ALABAMA MEDICAL CENTER AND SNF,"2000 PEPPERELL PARKWAY, OPELIKA, AL 36801",-85.4041233,32.6381079,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801
10032,WEDOWEE HOSPITAL,"209 NORTH MAIN STREET, WEDOWEE, AL 36278",-85.4874423,33.3166331,209 NORTH MAIN STREET,WEDOWEE,AL,36278
10033,UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET, BIRMINGHAM, AL 35233",-86.80222580000002,33.50611,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233
10034,COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD, TALLASSEE, AL 36078",-85.912363,32.534053,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078
10035,CULLMAN REGIONAL MEDICAL CENTER,"1912 ALABAMA HIGHWAY 157, CULLMAN, AL 35058",-86.8063051,34.2006364,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058
10036,ANDALUSIA REGIONAL HOSPITAL,"849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL 36420",-86.49262879999999,31.2993613,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420
10038,STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH ST, ANNISTON, AL 36201",-85.8342036,33.6676744,301 EAST 18TH ST,ANNISTON,AL,36201
10039,HUNTSVILLE HOSPITAL,"101 SIVLEY RD, HUNTSVILLE, AL 35801",-86.58179899999999,34.721046,101 SIVLEY RD,HUNTSVILLE,AL,35801
10040,GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE, GADSDEN, AL 35903",-85.9707768,34.0094108,1007 GOODYEAR AVENUE,GADSDEN,AL,35903
10043,CHILTON MEDICAL CENTER,"1010 LAY DAM ROAD, CLANTON, AL 35045",-86.6229871,32.8524851,1010 LAY DAM ROAD,CLANTON,AL,35045
10044,MARION REGIONAL MEDICAL CENTER,"1256 MILITARY STREET SOUTH, HAMILTON, AL 35570",-87.99045699999999,34.126815,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570
10045,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH, FAYETTE, AL 35555",-87.8238314,33.7075713,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555
10046,RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET, GADSDEN, AL 35901",-86.003393,34.0042649,600 SOUTH THIRD STREET,GADSDEN,AL,35901
10047,GEORGIANA HOSPITAL,"515 MIRANDA ST, GEORGIANA, AL 36033",-86.7427434,31.6437007,515 MIRANDA ST,GEORGIANA,AL,36033
10049,MEDICAL CENTER ENTERPRISE,"400 N EDWARDS STREET, ENTERPRISE, AL 36330",-85.855114,31.318647,400 N EDWARDS STREET,ENTERPRISE,AL,36330
10050,ST VINCENTS BLOUNT,"150 GILBREATH DRIVE, ONEONTA, AL 35121",-86.4949828,33.9333149,150 GILBREATH DRIVE,ONEONTA,AL,35121
10051,GREENE COUNTY HOSPITAL,"509 WILSON AVENUE, EUTAW, AL 35462",-87.89008559999999,32.8421786,509 WILSON AVENUE,EUTAW,AL,35462
10052,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD, DADEVILLE, AL 36853",-85.74159879999999,32.8200178,201 MARIARDEN ROAD,DADEVILLE,AL,36853
10054,PARKWAY MEDICAL CENTER,"1874 BELTLINE RD SW, DECATUR, AL 35601",-87.0168697,34.575806,1874 BELTLINE RD SW,DECATUR,AL,35601
10055,FLOWERS HOSPITAL,"4370 WEST MAIN STREET, DOTHAN, AL 36305",-85.457115,31.238104,4370 WEST MAIN STREET,DOTHAN,AL,36305
10056,ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE, BIRMINGHAM, AL 35205",-86.787808,33.50819,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205
10058,BIBB MEDICAL CENTER,"208 PIERSON AVE, CENTREVILLE, AL 35042",-87.1445298,32.9513954,208 PIERSON AVE,CENTREVILLE,AL,35042
